Nuclide,Clearance(Bq/g)
H-3,100
Be-7,10
C-14,1
F-18,10
Na-22,0.1
Na-24,1
Si-31,1000
P-32,1000
P-33,1000
S-35,100
Cl-36,1
Cl-38,10
K-42,100
K-43,10
Ca-45,100
Ca-47,10
Sc-46,0.1
Sc-47,100
Sc-48,1
V-48,1
Cr-51,100
Mn-51,10
Mn-52,10
Mn-52m,10
Mn-53,100
Mn-56,10
Fe-52,10
Fe-55,1000
Fe-59,1
Co-55,10
Co-56,0.1
Co-57,1
Co-58,1
Co-58m,10000
Co-60,0.1
Co-60m,1000
Co-61,100
Co-62m,10
Ni-59,100
Ni-63,100
Ni-65,10
Cu-64,100
Zn-65,0.1
Zn-69,1000
Zn-69m,10
Ga-72,10
Ge-71,10000
As-73,1000
As-74,10
As-76,10
Se-75,1
Br-82,1
Rb-86,100
Sr-85,1
Sr-85m,100
Sr-87m,100
Sr-89,1000
Sr-90,1
Sr-91,10
Sr-92,10
Y-90,1000
Y-91,100
Y-91m,100
Y-92,100
Y-93,100
Zr-93,10
Zr-95,1
Zr-97,10
Nb-93m,10
Nb-94,0.1
Nb-95,1
Nb-97,10
Nb-98,10
Mo-90,10
Mo-93,10
Mn-54,0.1
Mo-101,10
Tc-96,1
Tc-96m,1000
Tc-97,10
Tc-97m,100
Tc-99,1
Tc-99m,100
Ru-97,10
Ru-103,1
Ru-105,10
Ru-106,0.1
Rh-103m,10000
Rh-105,100
Pd-103,1000
Pd-109,100
Ag-105,1
Ag-110m,0.1
Ag-111,100
Cd-109,1
Cd-115,10
Cd-115m,100
In-111,10
In-113m,100
In-114m,10
In-115m,100
Sn-113,1
Eu-154,0.1
Eu-155,1
Gd-153,10
Gd-159,100
Tb-160,1
Dy-165,1000
Dy-166,100
Ho-166,100
Er-169,1000
Er-171,100
Tm-170,100
Tm-171,1000
Yb-175,100
As-77,1000
Sn-125,10
Sb-122,10
Sb-124,1
Sb-125,0.1
Te-123m,1
Te-125m,1000
Te-127,1000
Te-127m,10
Te-129,100
Te-129m,10
Te-131,100
Te-131m,10
Te-132,1
Te-133,10
Te-133m,10
Te-134,10
I-123,100
I-125,100
I-126,10
I-129,0.01
I-130,10
I-131,10
I-132,10
I-133,10
I-134,10
I-135,10
Ir-192,1
Ir-194,100
Pt-191,10
Pt-193m,1000
Pt-197,1000
Pt-197m,100
Au-198,10
Au-199,100
Hg-197,100
Hg-197m,100
Hg-203,10
Tl-200,10
Tl-201,100
Mo-99,10
Cs-129,10
Cs-131,1000
Cs-132,10
Cs-134,0.1
Cs-134m,1000
Cs-135,100
Cs-136,1
Cs-137,0.1
Cs-138,10
Ba-131,10
Ba-140,1
La-140,1
Ce-139,1
Ce-141,100
Ce-143,10
Ce-144,10
Pr-142,100
Pr-143,1000
Nd-147,100
Nd-149,100
Pm-147,1000
Pm-149,1000
Sm-151,1000
Sm-153,100
Eu-152,0.1
Eu-152m,100
Pa-230,10
Pa-233,10
U-230,10
U-231,100
U-232,0.1
U-233,1
U-236,10
U-237,100
U-239,100
U-240,100
Np-237,1
Np-239,100
Np-240,10
Lu-177,100
Hf-181,1
Ta-182,0.1
W-181,10
W-185,1000
W-187,10
Re-186,1000
Re-188,100
Os-185,1
Os-191,100
Os-191m,1000
Os-193,100
Ir-190,1
Am-242m,0.1
Am-243,0.1
Cm-242,10
Cm-243,1
Cm-244,1
Cm-245,0.1
Cm-246,0.1
Cm-247,0.1
Tl-202,10
Tl-204,1
Pb-203,10
Bi-206,1
Bi-207,0.1
Po203,10
Po-205,10
Po-207,10
At-211,1000
Ra-225,10
Ra-227,100
Th-226,1000
Th-229,0.1
Cm-248,0.1
Bk-249,100
Cf-246,1000
Cf-248,1
Cf-249,0.1
Cf-250,1
Cf-251,0.1
Cf-252,1
Pu-234,100
Pu-235,100
Pu-236,1
Pu-237,100
Pu-238,0.1
Pu-239,0.1
Pu-240,0.1
Pu-241,10
Pu-242,0.1
Pu-243,1000
Pu-244,0.1
Am-241,0.1
Am-242,1000
Cf-253,100
Cf-254,1
Es-253,100
Es-254,0.1
Es-254m,10
Fm-254,10000
Fm-255,10
